"2018459059","2018459059131600","1316","0","threats-to-injure","public-disorder","7/7/2018 6:50:00 PM","","7/7/2018 8:04:00 PM","3203 N QUEBEC ST","3167444","1703321","-104.90438570","39.76291520","2","221","northeast-park-hill","1","0"
"2018460426","2018460426220500","2205","0","burglary-business-no-force","burglary","7/1/2018 6:00:00 AM","7/2/2018 1:00:00 PM","7/8/2018 9:23:00 AM","900 N GRANT ST","3145315","1691531","-104.98333740","39.73092160","6","623","capitol-hill","1","0"
"2018459586","2018459586544100","5441","0","traffic-accident","traffic-accident","7/7/2018 10:20:00 PM","","7/8/2018 1:45:00 AM","E 36TH AVE / LAWRENCE ST","3148227","1704682","-104.97271270","39.76697740","2","211","cole","0","1"
"2018455016","2018455016570700","5707","0","criminal-trespassing","all-other-crimes","7/6/2018 7:25:00 AM","","7/6/2018 8:54:00 AM","N SPEER BLVD / W 14TH AVE","3141275","1694253","-104.99764760","39.73845620","1","123","lincoln-park","1","0"
"2018458596","2018458596299901","2999","1","criminal-mischief-mtr-veh","public-disorder","7/7/2018 3:00:00 PM","","7/7/2018 3:17:00 PM","","3206594","1711189","-104.76490450","39.78372660","5","523","gateway-green-valley-ranch","1","0"
"2018460542","2018460542531200","5312","0","disturbing-the-peace","public-disorder","7/8/2018 9:35:00 AM","","7/8/2018 9:35:00 AM","","3186165","1713496","-104.83753160","39.79049090","5","521","montbello","1","0"
"201812015","201812015531200","5312","0","disturbing-the-peace","public-disorder","1/6/2018 2:00:00 AM","","1/6/2018 3:48:00 AM","1222 GLEANARM PL","3142038","1694928","-104.99492120","39.74029760","6","611","cbd","1","0"
"201816226","201816226549900","5499","0","traf-other","all-other-crimes","1/8/2018 2:33:00 AM","","1/8/2018 3:59:00 AM","3000 BLOCK W 41ST AVE","3133362","1706733","-105.02555280","39.77283270","1","111","berkeley","1","0"
"201815752","201815752299901","2999","1","criminal-mischief-mtr-veh","public-disorder","1/7/2018 6:30:00 PM","1/7/2018 9:10:00 PM","1/7/2018 9:10:00 PM","9000 BLOCK E LEHIGH AVE","3173566","1661384","-104.88362190","39.64767780","3","324","hampden-south","1","0"
"201812037","201812037131302","1313","2","assault-dv","other-crimes-against-persons","1/6/2018 2:25:00 AM","","1/6/2018 4:02:00 AM","2922 W 21ST AVE","3133756","1697899","-105.02431570","39.74857620","1","121","jefferson-park","1","0"
"201814773","201814773230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","1/6/2018 10:00:00 PM","1/7/2018 10:30:00 AM","1/7/2018 1:13:00 PM","6805 N ARGONNE ST","3205049","1724714","-104.77001490","39.82088790","5","522","dia","1","0"
"201812300","201812300544100","5441","0","traffic-accident","traffic-accident","1/6/2018 8:04:00 AM","","1/6/2018 8:04:00 AM","2000 BLK N COLORADO BLVD","3156355","1697958","-104.94394610","39.74838590","2","213","city-park","0","1"
"201810629","201810629260500","2605","0","theft-unauth-use-of-ftd","white-collar-crime","12/20/2017 12:01:00 AM","12/26/2017 11:59:00 PM","1/5/2018 2:17:00 PM","3900 N NIAGARA ST","3165658","1706326","-104.91066920","39.77119630","2","221","northeast-park-hill","1","0"
"201812944","201812944359900","3599","0","drug-pcs-other-drug","drug-alcohol","1/6/2018 3:30:00 PM","","1/6/2018 5:20:00 PM","N LAFAYETTE ST / 38TH ST","3148909","1705666","-104.97026620","39.76966770","2","211","cole","1","0"
"201811137","201811137110200","1102","0","sex-aslt-rape","sexual-assault","12/1/2017 12:00:00 PM","12/25/2017 12:00:00 PM","1/5/2018 6:15:00 PM","","","","","","1","122","west-colfax","1","0"
"201810659","201810659131302","1313","2","assault-dv","other-crimes-against-persons","1/5/2018 1:00:00 PM","","1/5/2018 4:23:00 PM","9825 E GIRARD AVE","3176664","1664360","-104.87254750","39.65578940","3","323","hampden","1","0"
"201812992","201812992131500","1315","0","aggravated-assault","aggravated-assault","1/6/2018 3:54:00 PM","","1/6/2018 6:26:00 PM","","3170168","1694585","-104.89490340","39.73888410","2","223","east-colfax","1","0"
"201812130","201812130239900","2399","0","theft-other","larceny","1/6/2018 4:10:00 AM","1/6/2018 4:15:00 AM","1/6/2018 5:30:00 AM","4655 N HUMBOLDT ST","3148569","1709844","-104.97138930","39.78114230","2","212","elyria-swansea","1","0"
"201810903","201810903544100","5441","0","traffic-accident","traffic-accident","1/5/2018 3:45:00 PM","","1/5/2018 3:47:00 PM","N SYRACUSE ST / E 12TH AVE","3169093","1693392","-104.898754","39.73562870","2","223","east-colfax","0","1"
"201812481","201812481220400","2204","0","burglary-residence-no-force","burglary","12/20/2017 11:00:00 PM","12/20/2017 11:14:00 PM","1/6/2018 11:45:00 AM","1824 S BRYANT ST","3135743","1674281","-105.01769520","39.68371110","4","422","ruby-hill","1","0"
"201813435","201813435230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","1/5/2018 5:45:00 PM","1/6/2018 7:25:00 PM","1/6/2018 7:49:00 PM","6715 E UNION AVE","3166643","1654270","-104.90837110","39.62827430","3","324","southmoor-park","1","0"
"201814988","201814988544100","5441","0","traffic-accident","traffic-accident","1/7/2018 1:40:00 PM","","1/7/2018 2:42:00 PM","","3133686","1666405","-105.025150","39.66211920","4","423","harvey-park-south","0","1"
"20175005886","20175005886230400","2304","0","theft-parts-from-vehicle","theft-from-motor-vehicle","12/28/2017 6:00:00 PM","12/29/2017 6:00:00 AM","12/29/2017 3:35:00 PM","3000 BLK S WINONA CT","3127170","1665433","-105.04831150","39.65954210","4","423","harvey-park-south","1","0"
