"INCIDENT_ID","OFFENSE_ID","OFFENSE_CODE","OFFENSE_CODE_EXTENSION","OFFENSE_TYPE_ID","OFFENSE_CATEGORY_ID","FIRST_OCCURRENCE_DATE","LAST_OCCURRENCE_DATE","REPORTED_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","GEO_LON","GEO_LAT","DISTRICT_ID","PRECINCT_ID","NEIGHBORHOOD_ID","IS_CRIME","IS_TRAFFIC"
"20188004936","20188004936529900","5299","0","weapon-other-viol","all-other-crimes","2/2/2018 5:15:00 AM","","2/2/2018 5:50:00 AM","8400 PENA BLVD","3231977","1735292","-104.67381230","39.84929170","7","759","dia","1","0"
"201878992","201878992544100","5441","0","traffic-accident","traffic-accident","2/2/2018 12:33:00 PM","","2/2/2018 12:33:00 PM","E 39TH AVE / N PEORIA ST","3183545","1706408","-104.84703590","39.77108570","5","512","stapleton","0","1"
"201881506","201881506570700","5707","0","criminal-trespassing","all-other-crimes","2/3/2018 3:10:00 PM","","2/3/2018 4:33:00 PM","500 16TH ST","3143046","1696397","-104.99130770","39.74431480","6","611","cbd","1","0"
"201879301","201879301549902","5499","2","vehicular-eluding-no-chase","all-other-crimes","2/2/2018 1:09:00 PM","","2/2/2018 5:55:00 PM","300 BLOCK S DECATUR ST","3134305","1684208","-105.02261910","39.71098380","4","412","athmar-park","1","0"
"201881080","201881080230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","2/1/2018 11:00:00 PM","2/2/2018 5:30:00 AM","2/3/2018 10:57:00 AM","2851 W IOWA AVE","3134131","1675841","-105.02339360","39.688017","4","422","ruby-hill","1","0"
"2017749203","2017749203131600","1316","0","threats-to-injure","public-disorder","11/8/2017 4:00:00 AM","","11/8/2017 5:03:00 AM","4708 N WASHINGTON ST","3146660","1710163","-104.97817480","39.78204830","1","112","globeville","1","0"
"2016737376","2016737376220400","2204","0","burglary-residence-no-force","burglary","11/17/2016 11:45:00 AM","11/17/2016 1:25:00 PM","11/17/2016 3:57:00 PM","10700 E DARTMOUTH AVE","3179718","1665260","-104.86167860","39.65820170","3","323","kennedy","1","0"
"201880369","201880369549900","5499","0","traf-other","all-other-crimes","2/3/2018 12:12:00 AM","","2/3/2018 12:23:00 AM","32ND ST / LARIMER ST","3146717","1703649","-104.97810520","39.76416560","2","211","five-points","1","0"
"201881061","201881061544100","5441","0","traffic-accident","traffic-accident","2/3/2018 10:20:00 AM","","2/3/2018 10:21:00 AM","1000 BLK S PARKER RD","3167922","1679858","-104.90323370","39.69849660","3","321","windsor","0","1"
"201883422","201883422230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","2/3/2018 3:00:00 PM","2/4/2018 9:00:00 AM","2/4/2018 1:56:00 PM","300 W 11TH AVE","3142863","1692450","-104.99203690","39.73348240","6","611","civic-center","1","0"
"2017758781","2017758781230300","2303","0","theft-shoplift","larceny","11/11/2017 10:30:00 PM","","11/12/2017 12:13:00 AM","4498 N SHERIDAN BLVD","3125677","1708611","-105.05285950","39.77809510","1","111","berkeley","1","0"
"201880858","201880858220300","2203","0","burglary-business-by-force","burglary","2/2/2018 7:00:00 PM","2/3/2018 7:50:00 AM","2/3/2018 7:56:00 AM","4305 N BRIGHTON BLVD","3148956","1708556","-104.97003910","39.77760040","2","212","elyria-swansea","1","0"
"201883482","201883482531200","5312","0","disturbing-the-peace","public-disorder","2/4/2018 12:26:00 PM","","2/4/2018 1:00:00 PM","3381 W EXPOSITION AVE","3132013","1681752","-105.03081090","39.70427430","4","412","westwood","1","0"
"201878480","201878480240400","2404","0","theft-of-motor-vehicle","auto-theft","2/2/2018 7:30:00 AM","2/2/2018 7:40:00 AM","2/2/2018 7:49:00 AM","700 BLK S XAVIER ST","3126569","1681314","-105.05016680","39.70314750","4","412","westwood","1","0"
"201882845","201882845240400","2404","0","theft-of-motor-vehicle","auto-theft","2/4/2018 12:00:00 AM","2/4/2018 3:30:00 AM","2/4/2018 4:36:00 AM","1801 CHESTNUT PL","3140426","1700951","-105.00053550","39.75685620","6","612","union-station","1","0"
"201884519","201884519549900","5499","0","traf-other","all-other-crimes","2/4/2018 10:56:00 PM","","2/4/2018 11:10:00 PM","4900 BLOCK N FEDERAL BLVD","3133458","1711725","-105.02511840","39.786535","1","111","chaffee-park","1","0"
"20186001150","20186001150230400","2304","0","theft-parts-from-vehicle","theft-from-motor-vehicle","1/27/2018 10:00:00 PM","1/28/2018 12:10:00 PM","2/3/2018 12:24:00 PM","960 S JASON ST","3140977","1679950","-104.99898770","39.69919610","4","412","athmar-park","1","0"
"201883337","201883337230300","2303","0","theft-shoplift","larceny","2/3/2018 6:14:00 PM","","2/4/2018 10:39:00 AM","7930 E NORTHFIELD BLVD","3170025","1710878","-104.89502610","39.78361330","5","511","stapleton","1","0"
"201883985","201883985230800","2308","0","theft-from-bldg","larceny","2/4/2018 3:00:00 PM","2/4/2018 3:30:00 PM","2/4/2018 6:41:00 PM","500 16TH ST","3143046","1696397","-104.99130770","39.74431480","6","611","cbd","1","0"
"201883537","201883537240400","2404","0","theft-of-motor-vehicle","auto-theft","2/4/2018 1:05:00 PM","","2/4/2018 1:05:00 PM","4000 BLK N PERTH ST","3214497","1706959","-104.736912","39.771936","5","523","gateway-green-valley-ranch","1","0"
"201881473","201881473299902","2999","2","criminal-mischief-graffiti","public-disorder","2/2/2018 5:00:00 PM","2/3/2018 12:00:00 PM","2/3/2018 3:21:00 PM","7180 W YALE AVE","3119547","1668280","-105.07533960","39.66745880","4","423","bear-valley","1","0"
"201857395","201857395410400","4104","0","liquor-possession","drug-alcohol","1/24/2018 4:25:00 PM","","1/24/2018 4:52:00 PM","E 20TH AVE / N CLARKSON ST","3146904","1697577","-104.97756420","39.747494","6","621","five-points","1","0"
"201881313","201881313544100","5441","0","traffic-accident","traffic-accident","2/3/2018 12:54:00 PM","","2/3/2018 1:48:00 PM","800 BLOCK S LOCUST ST","3164922","1681087","-104.91386670","39.701924","3","322","washington-virginia-vale","0","1"
"201879466","201879466544100","5441","0","traffic-accident","traffic-accident","2/2/2018 4:27:00 PM","","2/2/2018 4:54:00 PM","LEETSDALE DR / S ELM ST","3160494","1683483","-104.929550","39.70857890","3","322","washington-virginia-vale","0","1"
"2018246620","2018246620544100","5441","0","traffic-accident","traffic-accident","4/13/2018 10:45:00 AM","","4/13/2018 11:02:00 AM","4100 BLOCK N JACKSON ST","3156748","1707312","-104.94234430","39.77405740","2","212","elyria-swansea","0","1"
"2018252144","2018252144299901","2999","1","criminal-mischief-mtr-veh","public-disorder","4/15/2018 1:00:00 AM","4/15/2018 8:30:00 AM","4/15/2018 8:13:00 PM","234 N LOGAN ST","3145631","1687566","-104.98229420","39.72003190","3","311","speer","1","0"
"2018246783","2018246783540100","5401","0","traffic-accident-hit-and-run","traffic-accident","4/13/2018 12:17:00 PM","","4/13/2018 2:10:00 PM","6470 E HAMPDEN AVE","3164755","1662939","-104.91487560","39.65210660","3","324","hampden-south","0","1"
"2018249746","2018249746570700","5707","0","criminal-trespassing","all-other-crimes","4/14/2018 6:09:00 PM","","4/14/2018 6:52:00 PM","295 S BROADWAY ST","3144049","1684456","-104.98798030","39.711519","3","311","baker","1","0"
"2018246624","2018246624353200","3532","0","drug-cocaine-possess","drug-alcohol","4/13/2018 12:30:00 PM","","4/13/2018 12:30:00 PM","2900 BLK WELTON ST","3147518","1701142","-104.97530750","39.75727080","2","211","five-points","1","0"
"2018250794","2018250794299900","2999","0","criminal-mischief-other","public-disorder","4/15/2018 4:37:00 AM","","4/15/2018 4:37:00 AM","1755 BLAKE ST","3141368","1699295","-104.99721770","39.75229590","6","612","union-station","1","0"
"2018248498","2018248498570700","5707","0","criminal-trespassing","all-other-crimes","4/14/2018 1:58:00 AM","","4/14/2018 3:30:00 AM","1340 N PENNSYLVANIA ST","3146034","1693931","-104.98073230","39.73749880","6","623","capitol-hill","1","0"
"2018248183","2018248183131302","1313","2","assault-dv","other-crimes-against-persons","4/13/2018 10:30:00 PM","","4/13/2018 10:49:00 PM","","3123664","1663738","-105.06079320","39.654936","4","423","bear-valley","1","0"
"20186003458","20186003458230800","2308","0","theft-from-bldg","larceny","4/13/2018 10:00:00 PM","4/14/2018 2:30:00 AM","4/14/2018 10:28:00 AM","2000 S COLORADO BLVD","3158557","1673013","-104.93666530","39.67986970","3","314","university-hills","1","0"
"2018252749","2018252749131100","1311","0","agg-aslt-police-weapon","all-other-crimes","4/15/2018 7:43:00 AM","","4/16/2018 2:11:00 AM","490 W COLFAX AVE","3142418","1694739","-104.99357370","39.73977290","6","611","civic-center","1","0"
